age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,target,workclass_Imputed,occupation_Imputed
40.0, Federal-gov,10.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,40.0, United-States,0, Federal-gov, Farming-fishing
54.0, Private,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,70.0, United-States,0, Private, Transport-moving
23.0, Private,9.0, Married-civ-spouse, Sales, Husband, White, Male,80.0, United-States,0, Private, Sales
18.0, Private,10.0, Never-married, Other-service, Own-child, White, Male,16.0, United-States,0, Private, Other-service
19.0, Private,9.0, Never-married, Adm-clerical, Own-child, White, Female,25.0, United-States,0, Private, Adm-clerical
37.0, Private,9.0, Separated, Tech-support, Unmarried, White, Female,40.0, United-States,0, Private, Tech-support
24.0, Private,13.0, Never-married, Exec-managerial, Unmarried, White, Male,40.0, United-States,1, Private, Exec-managerial
42.0, Private,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,40.0, United-States,0, Private, Prof-specialty
48.0, Private,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,50.0, United-States,1, Private, Transport-moving
40.0, Private,9.0, Never-married, Other-service, Not-in-family, White, Female,35.0, United-States,0, Private, Other-service
38.0, Local-gov,10.0, Never-married, Prof-specialty, Own-child, White, Male,40.0, United-States,0, Local-gov, Prof-specialty
49.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,45.0, United-States,1, Private, Exec-managerial
49.0, Self-emp-inc,10.0, Divorced, Sales, Not-in-family, White, Male,25.0, United-States,0, Self-emp-inc, Sales
54.0, Private,9.0, Widowed, Craft-repair, Own-child, White, Female,40.0, United-States,0, Private, Craft-repair
24.0, Private,10.0, Never-married, Other-service, Not-in-family, White, Male,40.0, United-States,0, Private, Other-service
22.0, Private,10.0, Never-married, Adm-clerical, Own-child, White, Male,40.0, United-States,0, Private, Adm-clerical
47.0, Private,9.0, Divorced, Craft-repair, Unmarried, White, Female,43.0, United-States,0, Private, Craft-repair
41.0, Private,9.0, Never-married, Craft-repair, Own-child, Black, Female,35.0, United-States,0, Private, Craft-repair
40.0, State-gov,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,50.0, United-States,1, State-gov, Prof-specialty
57.0, Self-emp-inc,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,60.0, United-States,1, Self-emp-inc, Prof-specialty
61.0, Self-emp-not-inc,4.0, Married-civ-spouse, Transport-moving, Husband, White, Male,30.0, United-States,0, Self-emp-not-inc, Transport-moving
42.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,1, Private, Craft-repair
56.0, Private,9.0, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,35.0, United-States,0, Private, Adm-clerical
19.0, State-gov,9.0, Never-married, Tech-support, Own-child, White, Female,40.0, United-States,0, State-gov, Tech-support
40.0, Private,10.0, Married-civ-spouse, Tech-support, Wife, White, Female,40.0, United-States,1, Private, Tech-support
48.0, Self-emp-inc,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,60.0, United-States,1, Self-emp-inc, Craft-repair
51.0, Private,12.0, Married-civ-spouse, Craft-repair, Husband, White, Male,45.0, United-States,1, Private, Craft-repair
19.0, Self-emp-not-inc,7.0, Never-married, Adm-clerical, Own-child, White, Female,30.0, United-States,0, Self-emp-not-inc, Adm-clerical
34.0, Private,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, United-States,1, Private, Prof-specialty
