parents,has_nurs,form,children,housing,social,health,target,finance
pretentious,very_crit,complete,3,critical,slightly_prob,not_recom,not_recom,1
great_pret,critical,completed,1,less_conv,slightly_prob,recommended,priority,0
pretentious,very_crit,completed,3,critical,nonprob,recommended,spec_prior,0
usual,very_crit,foster,more,critical,slightly_prob,priority,spec_prior,0
pretentious,proper,completed,more,critical,slightly_prob,not_recom,not_recom,0
usual,critical,foster,more,critical,nonprob,priority,spec_prior,0
pretentious,improper,completed,2,less_conv,nonprob,not_recom,not_recom,1
great_pret,very_crit,incomplete,more,less_conv,problematic,recommended,spec_prior,0
pretentious,critical,incomplete,more,less_conv,nonprob,recommended,spec_prior,1
usual,very_crit,incomplete,1,critical,problematic,priority,spec_prior,0
great_pret,critical,incomplete,1,critical,nonprob,not_recom,not_recom,1
great_pret,critical,incomplete,more,critical,slightly_prob,not_recom,not_recom,0
usual,improper,completed,2,less_conv,nonprob,not_recom,not_recom,0
pretentious,proper,complete,2,convenient,slightly_prob,priority,priority,1
great_pret,improper,complete,1,critical,nonprob,recommended,priority,0
usual,less_proper,foster,2,critical,problematic,priority,priority,0
usual,proper,complete,more,convenient,nonprob,not_recom,not_recom,1
great_pret,less_proper,completed,1,convenient,slightly_prob,not_recom,not_recom,1
pretentious,improper,incomplete,2,less_conv,nonprob,not_recom,not_recom,0
great_pret,proper,incomplete,2,less_conv,nonprob,not_recom,not_recom,0
pretentious,improper,complete,more,critical,problematic,priority,spec_prior,0
pretentious,less_proper,incomplete,2,less_conv,nonprob,priority,priority,1
usual,improper,foster,more,critical,nonprob,not_recom,not_recom,0
usual,proper,completed,3,critical,problematic,recommended,priority,0
usual,less_proper,complete,2,convenient,slightly_prob,priority,priority,1
great_pret,improper,incomplete,2,critical,nonprob,recommended,spec_prior,0
pretentious,improper,foster,1,convenient,slightly_prob,recommended,priority,1
great_pret,less_proper,foster,more,critical,problematic,not_recom,not_recom,0
usual,less_proper,completed,3,convenient,slightly_prob,not_recom,not_recom,1
great_pret,less_proper,incomplete,2,less_conv,problematic,not_recom,not_recom,0
pretentious,critical,completed,more,convenient,problematic,not_recom,not_recom,0
usual,proper,complete,1,less_conv,nonprob,priority,priority,1
pretentious,critical,incomplete,2,convenient,slightly_prob,recommended,priority,1
pretentious,less_proper,foster,2,less_conv,nonprob,not_recom,not_recom,1
usual,improper,completed,1,less_conv,problematic,not_recom,not_recom,1
usual,very_crit,incomplete,more,critical,slightly_prob,recommended,spec_prior,1
great_pret,less_proper,completed,2,less_conv,problematic,not_recom,not_recom,1
pretentious,improper,complete,more,less_conv,nonprob,recommended,priority,1
usual,critical,incomplete,2,convenient,nonprob,not_recom,not_recom,0
pretentious,critical,incomplete,1,less_conv,problematic,priority,spec_prior,0
pretentious,improper,complete,2,convenient,nonprob,priority,priority,1
usual,very_crit,complete,more,convenient,slightly_prob,priority,spec_prior,0
great_pret,improper,foster,more,less_conv,problematic,priority,spec_prior,0
usual,very_crit,foster,3,less_conv,problematic,priority,spec_prior,1
usual,critical,completed,3,convenient,slightly_prob,recommended,priority,0
great_pret,proper,completed,3,critical,problematic,not_recom,not_recom,0
great_pret,very_crit,incomplete,more,convenient,nonprob,priority,spec_prior,0
pretentious,critical,completed,1,convenient,slightly_prob,not_recom,not_recom,1
great_pret,improper,complete,2,critical,nonprob,recommended,spec_prior,1
pretentious,proper,foster,more,convenient,problematic,not_recom,not_recom,1
usual,proper,completed,2,convenient,slightly_prob,not_recom,not_recom,1
usual,improper,foster,3,less_conv,problematic,recommended,priority,0
pretentious,proper,complete,more,convenient,slightly_prob,recommended,very_recom,1
usual,less_proper,foster,2,critical,nonprob,not_recom,not_recom,1
great_pret,improper,incomplete,3,critical,slightly_prob,recommended,spec_prior,0
usual,very_crit,completed,1,less_conv,nonprob,priority,spec_prior,0
great_pret,improper,foster,1,convenient,slightly_prob,priority,spec_prior,1
pretentious,proper,completed,more,convenient,nonprob,priority,priority,1
usual,critical,incomplete,more,convenient,nonprob,recommended,priority,1
usual,proper,incomplete,2,less_conv,nonprob,not_recom,not_recom,1
pretentious,less_proper,incomplete,more,convenient,nonprob,recommended,priority,0
great_pret,improper,complete,1,convenient,problematic,recommended,spec_prior,0
great_pret,very_crit,completed,2,less_conv,problematic,priority,spec_prior,1
usual,very_crit,foster,1,convenient,problematic,not_recom,not_recom,1
great_pret,proper,completed,2,convenient,problematic,not_recom,not_recom,1
usual,proper,foster,2,convenient,nonprob,priority,priority,1
usual,improper,completed,3,critical,slightly_prob,not_recom,not_recom,1
great_pret,very_crit,foster,3,convenient,slightly_prob,recommended,priority,1
great_pret,improper,incomplete,3,critical,nonprob,priority,spec_prior,1
usual,critical,complete,1,critical,nonprob,recommended,priority,0
usual,less_proper,complete,3,less_conv,slightly_prob,not_recom,not_recom,1
usual,critical,foster,more,less_conv,nonprob,priority,spec_prior,0
usual,proper,completed,more,less_conv,nonprob,recommended,priority,0
great_pret,critical,completed,2,less_conv,problematic,not_recom,not_recom,1
usual,less_proper,completed,1,less_conv,problematic,priority,priority,0
pretentious,proper,incomplete,3,critical,nonprob,recommended,priority,0
great_pret,very_crit,completed,1,less_conv,nonprob,recommended,priority,0
pretentious,very_crit,foster,more,critical,problematic,not_recom,not_recom,0
great_pret,improper,foster,1,critical,problematic,recommended,spec_prior,1
pretentious,improper,complete,more,convenient,nonprob,not_recom,not_recom,1
great_pret,very_crit,foster,more,critical,nonprob,not_recom,not_recom,0
pretentious,proper,complete,more,less_conv,problematic,priority,priority,1
usual,less_proper,completed,more,less_conv,slightly_prob,recommended,priority,0
great_pret,very_crit,complete,3,convenient,nonprob,recommended,priority,1
pretentious,improper,incomplete,1,less_conv,nonprob,priority,priority,0
great_pret,improper,complete,2,convenient,nonprob,not_recom,not_recom,0
great_pret,improper,incomplete,more,convenient,problematic,recommended,spec_prior,0
great_pret,critical,foster,1,critical,nonprob,not_recom,not_recom,0
pretentious,improper,completed,more,convenient,problematic,recommended,spec_prior,0
great_pret,improper,completed,more,convenient,nonprob,recommended,spec_prior,0
great_pret,proper,foster,more,less_conv,slightly_prob,recommended,priority,0
pretentious,very_crit,foster,3,convenient,problematic,priority,spec_prior,0
great_pret,critical,completed,2,critical,problematic,priority,spec_prior,0
usual,improper,completed,more,convenient,nonprob,priority,priority,1
pretentious,improper,complete,3,critical,nonprob,recommended,priority,1
great_pret,very_crit,complete,more,less_conv,slightly_prob,not_recom,not_recom,1
pretentious,very_crit,completed,3,less_conv,problematic,priority,spec_prior,1
usual,less_proper,incomplete,more,convenient,problematic,priority,priority,1
